post-attention projection norm w/ residual conn,post-attention projection norm w/o residual conn,post-mlp projection norm w/ residual conn,post-mlp projection norm w/o residual conn
11.9375,3.40625,2.765625,4.53125
14.875,3.84375,11.0625,13.875
15.75,13.6875,6.53125,16.875
0.048828125,0.04296875,0.09716796875,0.09423828125
6.06475590234079e-19,6.06475590234079e-19,5.89534931288993e-19,5.89534931288993e-19
30.875,8.375,246.0,246.0
68.5,2.59375,2.640625,1.4609375
124.0,1.359375,2.03125,1.296875
12.1875,1.8671875,3.484375,2.140625
3.640625,0.9609375,1.703125,2.125
54.0,0.94140625,2.65625,2.640625
21.125,2.3125,4.25,5.84375
29.875,4.34375,4.90625,8.5
25.5,6.0625,4.21875,9.0
14.8125,3.421875,3.875,6.59375
13.25,3.890625,2.734375,4.96875
15.0625,4.21875,12.4375,15.5625
14.6875,15.4375,7.375,19.125
3.6875,1.9921875,3.171875,3.578125
0.12158203125,0.09326171875,0.12060546875,0.10498046875
6.098637220230962e-19,6.098637220230962e-19,6.030874584450618e-19,6.030874584450618e-19
30.75,8.25,246.0,245.0
67.5,2.546875,2.65625,1.484375
124.0,1.171875,1.8046875,1.296875
13.0625,1.9140625,3.40625,2.09375
3.703125,1.0078125,1.6484375,2.09375
52.0,0.9296875,2.546875,2.625
18.625,2.40625,4.125,5.71875
27.625,4.1875,4.8125,8.3125
22.5,5.9375,4.0,8.625
18.875,3.28125,3.796875,6.375
17.875,4.15625,2.96875,4.5625
18.375,3.65625,12.875,15.0625
15.125,14.9375,7.0625,18.25
13.1875,1.1875,2.640625,2.796875
16.625,0.84765625,1.9140625,1.7578125
0.09814453125,0.0791015625,0.150390625,0.1357421875
6.06475590234079e-19,6.06475590234079e-19,5.929230630780102e-19,5.929230630780102e-19
31.125,8.1875,245.0,245.0
66.0,2.578125,2.6875,1.4765625
122.5,1.3359375,1.953125,1.2890625
15.0625,1.9609375,3.421875,2.078125
4.34375,1.0078125,1.6640625,2.09375
50.75,0.8828125,2.59375,2.671875
16.125,2.3125,4.15625,5.6875
25.375,4.15625,4.78125,8.1875
19.5,5.84375,4.09375,8.625
22.375,3.25,3.4375,6.0
20.875,3.859375,2.890625,4.34375
20.625,3.484375,12.8125,14.75
16.875,14.5,7.34375,18.25
19.375,1.3984375,2.15625,2.375
24.5,1.46875,2.84375,1.8515625
12.6875,0.75390625,2.203125,2.140625
0.125,0.1044921875,0.095703125,0.0771484375
6.098637220230962e-19,6.098637220230962e-19,5.996993266560446e-19,5.996993266560446e-19
31.125,8.125,245.0,245.0
64.0,2.609375,2.71875,1.46875
121.0,1.390625,1.9453125,1.28125
17.375,1.8671875,3.265625,2.046875
6.75,0.98828125,1.6171875,2.015625
48.25,0.8046875,2.6875,2.75
13.3125,2.203125,3.9375,5.375
22.125,3.984375,4.40625,7.71875
16.125,5.375,3.84375,8.1875
26.5,2.96875,3.421875,5.59375
25.0,3.671875,2.921875,3.984375
23.0,3.28125,12.0,13.6875
19.0,13.3125,6.9375,17.375
26.75,1.0703125,1.8671875,1.6171875
33.5,1.7734375,2.890625,2.203125
23.75,1.1328125,2.28125,2.15625
14.0625,0.6015625,1.9765625,1.765625
0.09130859375,0.0751953125,0.10693359375,0.0966796875
6.06475590234079e-19,6.06475590234079e-19,5.89534931288993e-19,5.89534931288993e-19
31.125,8.0625,245.0,245.0
64.5,2.640625,2.734375,1.4765625
121.0,1.546875,2.109375,1.2734375
17.125,1.9609375,3.4375,2.125
6.09375,0.9921875,1.6875,2.109375
48.5,0.9375,2.765625,2.765625
13.5,2.46875,4.34375,6.0625
22.375,4.40625,4.96875,8.625
16.25,5.90625,4.28125,9.1875
26.75,3.5625,3.921875,6.625
24.125,4.09375,3.15625,4.6875
22.25,3.796875,13.8125,15.4375
18.25,14.75,7.78125,19.75
23.125,2.0625,2.125,3.015625
28.5,1.4921875,3.515625,2.8125
15.625,1.140625,4.9375,5.09375
6.34375,1.5,4.46875,5.5625
22.125,1.0625,6.90625,6.96875
0.060791015625,0.0517578125,0.06396484375,0.059814453125
6.06475590234079e-19,6.06475590234079e-19,5.89534931288993e-19,5.89534931288993e-19
31.125,8.1875,245.0,245.0
65.0,2.578125,2.671875,1.4453125
121.5,1.28125,1.8359375,1.2890625
16.75,1.8515625,3.21875,2.0
5.75,0.9609375,1.6015625,1.953125
49.0,0.8828125,2.84375,2.84375
13.5,2.296875,3.8125,5.3125
22.625,3.96875,4.375,7.625
16.5,5.21875,3.796875,7.96875
26.25,2.890625,3.375,5.375
23.75,3.453125,2.890625,3.859375
21.625,3.28125,12.0625,13.375
17.25,12.875,7.0625,17.375
24.125,1.3203125,2.015625,1.671875
27.625,2.5,3.578125,2.65625
13.125,1.1328125,2.90625,2.734375
4.3125,0.60546875,2.765625,2.609375
20.875,0.62109375,3.5,3.6875
16.375,1.6484375,3.1875,2.5625
0.06884765625,0.06103515625,0.08447265625,0.07861328125
6.098637220230962e-19,6.098637220230962e-19,5.996993266560446e-19,5.996993266560446e-19
31.125,8.25,245.0,245.0
64.5,2.640625,2.671875,1.4453125
121.0,1.3125,1.8515625,1.2890625
17.375,1.78125,3.125,1.9453125
6.90625,0.9296875,1.5625,1.8671875
48.25,0.84765625,2.796875,2.78125
12.4375,2.171875,3.59375,4.9375
21.25,3.828125,4.03125,7.09375
15.25,4.84375,3.578125,7.40625
28.0,2.640625,3.265625,4.96875
25.0,3.140625,3.03125,3.578125
22.0,3.015625,11.125,12.3125
17.5,11.875,6.40625,16.125
27.0,1.1796875,2.421875,2.40625
30.0,2.859375,4.0625,4.40625
15.375,1.796875,3.734375,4.375
7.4375,1.4921875,2.5625,2.9375
18.0,0.93359375,2.015625,1.84375
25.875,2.15625,4.875,4.90625
11.3125,5.4375,4.71875,2.40625
0.1357421875,0.09814453125,0.099609375,0.0830078125
6.098637220230962e-19,6.098637220230962e-19,6.030874584450618e-19,6.030874584450618e-19
30.875,8.25,243.0,244.0
63.5,2.703125,2.671875,1.421875
119.5,1.390625,1.921875,1.3046875
19.25,1.8125,3.15625,1.9609375
9.0625,0.94140625,1.5625,1.875
46.75,0.83203125,2.796875,2.8125
10.5,2.203125,3.53125,4.875
19.125,3.890625,4.03125,7.125
13.0,4.8125,3.578125,7.40625
30.5,2.640625,3.34375,5.03125
27.0,3.15625,3.0625,3.625
23.375,3.0,11.1875,12.375
19.25,11.875,6.53125,16.25
30.375,1.1796875,2.421875,2.390625
34.0,2.953125,4.5,4.625
19.5,2.09375,3.875,4.40625
8.9375,1.6015625,2.546875,2.703125
11.0625,0.625,2.09375,2.171875
26.875,2.046875,4.5625,4.65625
19.5,5.03125,4.3125,2.640625
15.75,0.67578125,2.71875,2.34375
0.220703125,0.12060546875,0.078125,0.060791015625
6.098637220230962e-19,6.098637220230962e-19,6.030874584450618e-19,6.030874584450618e-19
31.125,8.3125,245.0,245.0
64.5,2.640625,2.65625,1.453125
121.0,1.25,1.8046875,1.3203125
18.125,1.7890625,3.171875,1.9609375
7.40625,0.9375,1.609375,1.90625
48.0,0.84765625,2.765625,2.78125
11.4375,2.25,3.578125,5.0
20.5,3.890625,4.09375,7.25
14.125,4.9375,3.609375,7.53125
29.25,2.6875,3.3125,5.03125
25.25,3.21875,3.046875,3.71875
22.0,3.125,11.3125,12.5
17.5,12.125,6.53125,16.375
27.25,1.28125,2.484375,2.328125
29.375,2.53125,4.125,4.46875
13.125,1.9140625,3.921875,4.375
6.71875,1.4140625,2.84375,3.046875
19.0,0.71484375,2.046875,2.015625
23.375,1.8828125,4.78125,5.03125
7.84375,4.40625,3.734375,2.640625
8.5,0.93359375,2.171875,1.671875
23.25,1.4921875,1.6640625,2.21875
0.42578125,0.154296875,0.203125,0.1708984375
6.06475590234079e-19,6.06475590234079e-19,6.030874584450618e-19,6.030874584450618e-19
30.875,8.3125,245.0,245.0
64.5,2.625,2.625,1.4296875
121.0,1.3515625,1.9140625,1.265625
17.75,1.796875,3.21875,1.9921875
6.75,0.9453125,1.671875,1.953125
48.25,0.890625,2.828125,2.828125
11.75,2.265625,3.671875,5.125
20.875,3.921875,4.25,7.46875
14.5625,5.03125,3.734375,7.75
28.75,2.78125,3.359375,5.15625
